Artist,Song,Genre,Song ID,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Valence,,
Hippo Campus,Poems,modern rock,5CGX8JPDhMyUI4GkBSDxwP,0.462,0.588,0.0336,0.503,0.00206,0.27,,
Hippo Campus,South,modern rock,64TjzuxG5PJ7payjphrOC0,0.532,0.548,0.0291,0.174,0.0033,0.443,,
Hippo Campus,baseball,modern rock,5lO1htX1UPjwyItDLurhR5,0.602,0.915,0.0541,0.0034,0,0.581,, 
Hippo Campus,warm glow,modern rock,0WSPIU3Y3bNXsGeKnzSnt1,0.445,0.446,0.000286,0.324,0.119,0.0384,,
Hippo Campus,Buttercup,modern rock,6iCJCZqDJjmBxt07Oid6FI,0.623,0.763,0.0719,0.199,0.00000652,0.199,,
Hippo Campus,Golden,modern rock,4vBIr27NcRFBNpyIxLHZuB,0.661,0.942,0.0949,0.382,0.00902,0.552,,
Hippo Campus,Simple Season,modern rock,7GwXIkPT4jxQ2q6mhOmoHM,0.598,0.784,0.0337,0.514,0,0.597,,
Hippo Campus,Why Even Try,modern rock,7hNT08Aa0p2Wpozs1tAAoN,0.597,0.635,0.0311,0.035,0.00553,0.196,,
Hippo Campus,Suicide Saturday,modern rock,0scQIzgcOhnmfqfOTpRUFH,0.443,0.719,0.033,0.0225,0,0.559,,
Hozier,Cherry Wine,irish singer-songwriter,1C042FLYy7rP3MfnkOcnha,0.415,0.11,0.0388,0.951,0.00236,0.234,,
Houndmouth,Sedona,modern folk rock,2kG5litgxXvx6ZRgwO1v7W,0.396,0.677,0.0354,0.0372,0.000137,0.249,,
Hozier,Jackie and Wilson,irish singer-songwriter,4JpazKcfOhbwqZrsYhzHee,0.555,0.727,0.0388,0.0579,0.00000752,0.739,,
HUNNY,Televised,modern rock,35Ki1lvKPC2sFBD3GmKdRG,0.591,0.746,0.0444,0.000729,0,0.432,,
Joy Again,Looking Out for You,indie garage rock,1lpLrlyweOShEKXT1bpcDd,0.682,0.9,0.0874,0.0884,0.063,0.937,,
Local Natives,When Am I Gonna Lose You,la indie,5wCVLW9qMtIY9IkBeyYnh6,0.452,0.834,0.0967,0.0417,0.00036,0.514,,
